source,trans1,trans2,trans3
"抗衰老，28天就年轻10岁
儿童、老人、囚禁体弱者，适合食补。
7天吃的不一样！
一月轻松瘦10斤。
收紧皮肤，使其富有弹性。

香浓可口的麦片粥","노화 방지, 28일 만에 10살 젊어짐
아동, 노인, 감금된 약한 사람, 식품 보충에 적합
7일 동안 다른 음식!
1월에 5kg 쉽게 날씬해짐
피부를 조여주어 탄력을 주어줌

향긋하고 맛있는 맥아밀로이드","['안티에이징, 28일 만에 10년 젊어짐\n어린이, 노인 및 허약자를 구금하는 것은 건강 보조 식품에 적합합니다.\n7일 동안 먹는 건 다릅니다!\n한 달에 10근은 거뜬히 빠집니다.\n피부를 탄력있게 조여줍니다.\n\n구수하고 맛있는 시리얼']","노화 방지, 28일 만에 10년 젊어지기
어린이, 노인, 체력이 약한 사람에게 적합한 식이 보충.
7일 동안 다른 걸 먹어 보세요!
한 달에 5kg 쉽게 감량.
피부를 조여주어 탄력을 줍니다.

진하고 맛있는 오트밀粥"
"手摇磨链器
磨链只需3分钟
高效率 省时省力
专用固定底座
无需插电 直接带上山
户外方便作业","손으로 회전하는 체인 그라인더
체인을 갈 때 3분만
효율적이고 시간과 노력을 절약
전용 고정 바닥
전기를 사용하지 않고 바로 산에 가기
야외 작업이 편리","['수동연삭기\n연마사지는 3분이면 됩니다.\n고효율, 시간과 노력을 절약합니다.\n전용 고정 받침대\n꽂을 필요 없이 산으로 바로 가기\n야외에서 작업하기 편함']","핸드 체인 샤프너
체인 갈기 단 3분
고효율 시간과 노력 절약
전용 고정 베이스
전기 필요 없음 바로 산으로
야외에서 편리한 작업"
"鼻腔专家推荐
一喷有效缓解打鼾和鼻塞
细腻喷雾 温和不刺激
1秒止鼾 呼吸均匀顺畅
自已睡得好，家人睡得着
男女可用
告别口干舌燥，出差尴尬，打鼾抱怨
给您一个舒适的睡眠","코 전문가 추천
스프레이 한 번으로鼾소리와 코막힘을 효과적으로 완화
부드러운 스프레이, 부드럽고 자극적이지 않음
1초鼾소리 멈추기, 호흡이 고르게 순畅함
자신이 잘 수 있고 가족이 잘 수 있음
남녀 모두 사용 가능
입마르고 혀마름, 비상으로尴尬함,鼾소리와 불만을 이별
편안한 수면을 선사","['비강 전문가 추천\n단분사로 코골이와 코막힘을 효과적으로 완화\n섬세한 미스트 마일드 & 자극 없음\n1초간 코골이를 멈추고 호흡이 고르고 원활해집니다\n자기가 잘 자면 가족이 잘 잔다.\n남녀 사용 가능\n목이 마르고, 출장이 어색하고, 코를 골고, 불평하는 것과 작별\n편안한 수면을 취하겠습니다']","비강 전문가 추천
한 번 뿌리면 코골이와 코막힘이 효과적으로 완화
섬세한 분사, 부드럽고 자극적이지 않음
1초 만에 코골이 멈추고 호흡이 고르고 원활해짐
자신도 편안히 잠들고 가족들도 잘 수 있음
남녀 모두 사용 가능
입과 혀의 건조함, 출장 중 불편함, 코골이에 대한 불만 해소
편안한 수면을 선사합니다"
"懒人必备！蔬果清洗沥水篮子
超声波设计，清洗能力超强！
比手洗干净太多了！
水果、蔬菜都能用！
超声波震动清洗，
科技改变生活！","게으름뱅이 필수! 채소 과일 세척 물빠짐 바구니
초음파 디자인으로 세척력 강력!
손세탁보다 더 깨끗!
과일, 채소 모두 사용 가능!
초음파 진동 세척
테크놀로지로 생활을 바꿔라!","['게으름뱅이 필수! 과일세척 바구니\n초음파 설계로 세척력이 뛰어남!\n손 씻는 것보다 훨씬 깨끗합니다!\n과일 야채 다 쓸 수 있어요!\n초음파 진동세정,\n과학 기술이 삶을 바꿉니다!']","게으른 사람 필수품! 채소 과일 세척 건조 바구니
초음파 디자인, 세척 능력 초강력!
손 세척보다 훨씬 깨끗해요!
과일, 채소 모두 사용 가능!
초음파 진동 세척,
과학기술이 생활을 바꿉니다!"
"抬头纹、法令纹、眼角纹，皮肤松弛显老
你就不要再花冤枉钱了
25-80岁的人一定要知道它
这不是面膜，是胶原填充片
秒吸收，补充流失的胶原蛋白
紧致提升，淡化皱纹
强韧肌底，保湿滋润
2023全新方法，快速恢复饱满年轻肌肤！年轻20岁！","높은 주름, 주름, 눈가 주름, 피부가 늘어남으로 노화
더 이상 돈을 낭비하지 마세요
25-80세의 사람들은 반드시 알아야 합니다
이것은 마스크가 아니고 콜라겐 충전제입니다
초속 흡수, 손실된 콜라겐을 보충
주름을 완화하고, 주름을 완화시킵니다
탄력 있는 피부, 보습
2023년 새로운 방법으로 빠르게 젊은 피부로 회복! 20살 젊어 보입니다!","['이마주름 팔자주름 눈가주름 피부가 늘어져 늙어보임\n너 다시는 헛돈을 쓰지 마\n25-80세라면 꼭 알아야 합니다.\n마스크팩이 아니라 콜라겐 필러입니다.\n초흡수, 손실된 콜라겐 보충\n탱탱하게 올려주어 주름완화\n피부 결을 탄탄하게, 보습 촉촉하게\n2023 새로운 방법, 탱글탱글한 젊은 피부로 빠르게!20년 젊음!']","미간 주름, 팔자 주름, 눈가 주름, 피부 처짐은 노화를 드러냅니다.
이제 헛돈 쓰지 마세요.
25-80세 사람들이 꼭 알아야 할 제품입니다.
이건 마스크팩이 아니라 콜라겐 필러입니다.
즉각 흡수되어 손실된 콜라겐을 보충합니다.
탄력 있게 리프팅하고 주름을 완화합니다.
피부의 기초를 강화하고 보습과 영양을 제공합니다.
2023년 신제품, 빠르게 탱탱하고 젊은 피부로 회복! 20살 젊어지세요!"
"车家两用吸尘器
无线超大吸力12000Pa
身材小巧，拥有超强吸力，快速吸收缝隙中各种垃圾碎屑，可以吹水吹尘吹头发，还能各种充气打气/充气泵使用","차량과 가정용 2-in-1 청소기
무선 초대형 흡입력 12000Pa
작고, 강력한 흡입력, 틈새의 각종 쓰레기와 찌꺼기를 빠르게 흡입, 물을 불어넣고 먼지를 불어넣고 머리를 빗고, 각종 공기 주입/공기 펌프 사용 가능","['차량용 청소기\n무선 흡입력 12000Pa\n컴팩트한 체격으로 흡입력이 뛰어나 틈새의 각종 찌꺼기를 빠르게 흡수하며, 물이나 먼지, 각종 에어펌프 사용 가능']","차량 및 가정용 청소기
무선 초강력 흡입력 12000Pa
작고 아담한 크기, 초강력 흡입력을 자랑하며 틈새의 다양한 쓰레기 조각을 빠르게 흡수합니다. 물, 먼지, 머리카락을 불어낼 수 있으며 다양한 공기 주입/펌프 용도로 사용할 수 있습니다."
"采用德国技术，超级亮，晚上打开它可以照亮整个小镇。
还可以充当移动电源，在紧急情况下为您的智能手机充电。
待机时间长，一次充电可使用7天以上","독일 기술을 적용하여 초밝고 밤에 열면 마을 전체를 밝힐 수 있다.
모바일 파워뱅크로도 사용할 수 있어 긴급 상황에서 스마트폰 충전 가능.
수면 시간이 길어 한 번 충전하면 7일 이상 사용 가능",['독일 기술로 매우 밝으며 밤에 열면 마을 전체를 환하게 밝힐 수 있습니다.\n비상시에 당신의 스마트폰을 충전하는 이동전원 역할도 할 수 있습니다.\n대기시간이 길어 1회 충전으로 7일 이상 사용 가능'],"독일 기술로 제작되어 매우 밝습니다. 밤에 켜면 마을 전체를 밝힐 수 있습니다.
또한 이동식 전원으로 사용할 수 있어 긴급 상황에서 스마트폰을 충전할 수 있습니다.
대기 시간이 길어 한 번 충전으로 7일 이상 사용할 수 있습니다."
"2023新款机车概念黑科技手表
瑞士进口顶级石英机芯
30米深度防水
钻石光泽表盘
个性化无指针设计
不锈钢表带
经典时尚
彰显男人尊贵品位
现在购买 免运费","2023 신상 모터사이클 컨셉 블랙 테크워치
스위스 수입 최고 퀄리티 Quartz 모터
30m 깊이 방수
다이아몬드 광택 페이스
개성 있는 핀트리스 디자인
스테인리스 스트랩
클래식하고 스타일리쉬
남성의 고급스러움을 드러냄
지금 구매하시면 무료 배송",pass,"2023년 신형 바이크 컨셉 블랙 테크 시계
스위스산 최고급 쿼츠 무브먼트
30미터 방수
다이아몬드 광택 다이얼
개성 있는 무침 디자인
스테인리스 스틸 스트랩
클래식하고 스타일리시함
남성의 고귀한 품격을 드러냅니다
지금 구매 시 무료 배송"
"2022新款概念手表
机车概念黑科技手表
30米防水
永久续航 无需充电
时尚、大气、尊贵，成功男士的选择
瑞士进口机芯
合金表带，深度防水
幻彩玻璃镜面
彰显独特魅力
手腕上的黑科技
现在购买，免运费","2022 신상 개념 시계
모터사이클 개념 블랙테크 시계
30m 방수
영구 배터리, 충전 필요 없음
스타일리시, 우아하고 고급스러움, 성공한 남자의 선택
스위스 수입 기어
합금 스트랩, 깊이 방수
환상 컬러 유리
독특한 매력을 드러냄
팔목에 블랙테크
지금 구매하시면 배송비 무료","['2022년 신개념 시계\n모터사이클 컨셉 블랙테크 시계\n30m 방수\n영구 항속 충전 필요 없음\n스타일리시, 시크, 존귀, 성공한 남자의 선택\n스위스 수입 무브먼트\n합금 스트랩 깊이 방수\n스테인드글라스 미러\n유니크한 매력 어필\n손목 위의 다크 테크\n지금 구매하시면 배송비 무료']","2022년 신형 컨셉 시계
모터사이클 컨셉 블랙 테크 시계
30미터 방수
영구 배터리, 충전 불필요
패션, 대기, 존귀, 성공한 남성의 선택
스위스 수입 무브먼트
합금 시계줄, 깊은 방수
환상적인 유리 거울면
독특한 매력 발산
손목 위의 블랙 테크
지금 구매하면, 무료 배송"
"1秒收平“大肚腩”
秒变小“腰”精
40岁拥有20岁身材的秘密
夏季新升级网纱束腰
紧致收腹显瘦20斤
轻薄无痕
收腹不卷边
高弹不勒
修身美背
立显S型
让女人羡慕让男人惊艳","1초에 '배'를 잡아주고
1초에 '허리'를 작게 만들어
40세의 20세의 몸매를 가진 비밀
여름에 업그레이드된 메쉬 허리밴딩
허리를 조여 10kg을 날씬하게
가볍고 흔적 없음
배를 잡아주어도 변형되지 않음
고탄력으로 조임
몸매를 잡아주고 등이 아름다워짐
S라인으로 보이게
여성들이 부러워하고 남성들이 놀라게","[""1초에 '뱃살'을 가다듬어 줍니다.\n초소형 허리 요정\n마흔 살 스무 살 몸매의 비밀\n여름 신상 망사 튜닉\n탱탱 조거 20근 날씬해 보이는\n경박 몰드\n배를 움켜쥐고 돌돌 말지 않음\n고탄불륵\n슬림 미등\n입체적인 S라인\n여자가 부러워하고 남자가 놀라는""]",pass
