source,trans1,trans2,trans3
"这个擦丝器太好用了，护手设计，不浪费食材！
轻松切各种粗丝、细丝、薄片、厚片
再也不用担心伤到手了！


绝大多数家庭还在用笨重的菜刀，不仅切的慢还容易伤到手！我也是去了一趟朋友家才知道还有这种切菜神器！炒菜做饭原来这么简单！菜刀能切的它都能切，菜刀切不了的它也能切！切片切丝切块统统都行！切出来的蔬菜大小完整、厚薄均匀！就连干了30年的厨师也赞不绝口！","このスライサーは本当に便利で、手の保護デザインで、食材を無駄にしない！
様々な粗い糸、細い糸、薄いスライス、厚いスライスを簡単に切ることができる。
もう手の怪我を心配する必要はない！

ほとんどの家庭は重いナイフを使っていて、切るのが遅いだけでなく、手の怪我をしやすい！友達の家に行ってから、このような料理の神器があることを知った！炒め物や料理はこんなに簡単だ！ナイフで切れるものは切れるし、ナイフで切れないものも切れる！スライス、スライス、ブロックを切ることができる！切った野菜は大きさが揃っていて、厚さも均一！30年間働いてきた料理人も絶賛している！",['この千切りピーラーはとても良い、手を保護するデザイン、食材の無駄がありません！ 厚切り、薄切り、スライス、厚切り、どんな切り方でも簡単にできます！ たいていの家庭ではまだ重い包丁を使っている！ 友人の家に行って初めて、こんな包丁があることに気づいた！ 炒め物も料理もとても簡単！ 包丁で切れるものは何でも切れるし、包丁で切れないものも切れる！ スライスも千切りもさいの目切りもできる！ 切り出された野菜は、大きさも厚さも揃っている！ この道30年のシェフも絶賛！'],"このおろし器は本当に使いやすいです。手を守るデザインで、食材を無駄にしません！
粗い千切り、細い千切り、薄切り、厚切りも簡単にできます。
もう手を傷つける心配はありません！

ほとんどの家庭ではまだ重い包丁を使っており、切るのが遅いだけでなく手を傷つけやすいです！私も友人の家に行って初めてこのような便利な調理器具があることを知りました！料理がこんなに簡単だったとは！包丁で切れるものはもちろん、包丁で切れないものも切れます！スライス、千切り、角切り、すべてお任せください！切り出した野菜は大きさが揃い、厚さも均一です！30年間の料理人でさえも絶賛しています！"
别人半小时切不完的菜，用它两分钟就能搞定！关键是它一体成型，完全不会伤手！一小会就能切好一大桌菜，非常轻松，想切什么切什么，想怎么切就怎么切！而且清洗的时候也很方便，直接用水一冲就行了！有了它，切菜做饭不仅非常快，而且还好看又美味！老公天天夸我比饭店做的还要好吃！如果你也经常做饭就别犹豫了！划走可就找不到这么好用的切菜器了！,他人の半時間かかる料理を、2分で仕上げることができる！大切なのは、一体成型で、手が傷つくことはない！少しの時間で、大皿の料理を切ることができる、非常に簡単、切るものは切って、切る方法はどんな方法でも！洗浄も簡単で、水で洗うだけでいい！これがあれば、料理は非常に速く、見た目も美味しい！夫は毎日、レストランの料理よりも美味しいと褒めている！料理をすることが多いなら、迷うな！このような便利な料理器は、もう手に入らない！,['他の人が30分かけてもできないみじん切りが、これなら2分でできる！ 一体成型なので、手が痛くならないのがポイント！ 小さいので、大きなテーブルの野菜も簡単に切れます！ お手入れも簡単で、水を使うだけ！ これさえあれば、切るのも料理するのもとても速いだけでなく、見栄えもよくておいしい！ 主人も、レストランより美味しいと毎日褒めてくれました！ よく料理をするなら、迷うことはありません！ このような良いチョッパーは、離れてスクラッチすると見つけることができません！'],他の人が30分かけて切る野菜も、これを使えばたったの2分で完了！しかも一体成型で、手を傷つける心配が全くありません！短時間でたくさんの野菜を切ることができ、とても簡単です。好きな野菜を好きな形に切ることができます！さらに、洗うときも水でさっと流すだけでOK！これがあれば、料理の準備が速くなるだけでなく、見た目も美しくて美味しい料理が作れます！夫も毎日、レストランより美味しいと言って褒めてくれます！あなたも料理をよくするなら、迷わずこれを手に入れてください！これを逃したら、こんなに便利な野菜カッターは見つかりませんよ！
"嘻哈朋克开口弹力手镯
让您从此告别高血糖，开启健康生活！
男女都能佩戴，时尚易搭配，持续释放负离子！
能有效通畅血管，平衡人体正负离子，降低血糖，为您的健康护航。
消除疲劳，防辐射，健康减脂，轻松塑造完美身材。
经常佩戴，增强体质，呵护健康","ヒップパンクストラップ
血糖値を下げ、健康的な生活を送る！
男女兼用、ファッショナブルでコーデしやすい、負イオンを放出する！
血管を通じ、正負イオンをバランスさせ、血糖値を下げる。
疲労を解消、放射線を防ぐ、健康的なダイエット、完璧なボディを簡単に作る。
よく着用すると、体質を強化し、健康を守る。",['ヒップホップパンクなオープンエンドストレッチブレスレット！ 男性も女性も着用でき、ファッショナブルで合わせやすく、マイナスイオンを持続的に放出します！ 効果的に血管を開くことができ、正と負のイオンの体のバランスをとり、血糖値を下げる、あなたの健康の護衛のために。 完全なボディを形づけること容易な疲労、反放射能、健康な脂肪質の損失を除去して下さい。 あなたの体力を高め、あなたの健康の世話をするためにそれを定期的に着用してください！'],"ヒップホップパンクオープンエラスティックブレスレット
これで高血糖とおさらばし、健康的な生活を始めましょう！
男女共に着用可能、ファッション性抜群でコーディネートしやすく、持続的にマイナスイオンを放出！
血管を効果的に通し、体内のプラスイオンとマイナスイオンのバランスを整え、血糖値を下げて健康をサポートします。
疲労を解消し、放射線を防ぎ、健康的に脂肪を減らし、簡単に完璧な体型を作り上げます。
頻繁に着用することで、体質を強化し、健康を守ります。"
"红蛋白弹润贵妇面霜
1秒让粗大毛孔变得细腻光滑！
改善暗沉粗糙，底妆更服帖
肌肤看起来清透白皙，就像天生的好皮肤！

如果出门不想化妆，但又想拥有好皮肤，可以试试这款龙血膏！
它的神奇之处在于，只需1秒，粗大毛孔就会变得细腻光滑，细纹、瑕疵都看不到了！肌肤清透白皙，仿佛拥有了天生的好皮肤。
你的底妆更会服帖，持久绽放，48小时不晕染不脱落。
享受顶级护肤体验，尽在这款贵妇面霜！","レッドプロテインの保湿力に優れた高級女性用クリーム
1秒で毛穴を細くしてスムーズに！
くすみや粗い肌を改善し、ベースメイクをよりしっかりと
肌が透明で白く見え、まるで天然の美肌のように！

外出時にメイクをしないが、美肌を求めるなら、このクリームを試してみてください！
1秒で毛穴を細くしてスムーズに、シワやシミが見えなくなります！肌が透明で白く見え、まるで天然の美肌のように。
ベースメイクがしっかりして、48時間持続し、色あせや脱落がありません。
最高級の美肌体験をこのクリームで！",['レッドプロテイン バウンシーノーブル フェイスクリーム 1秒で毛穴の開きを改善！ くすみやざらつきが改善され、化粧下地がより映える 肌が透明感のある色白に見え、まるで天然の美肌のよう！ 外出時にメイクはしたくないけど、美肌はキープしたいという人は、このドラゴンズブラッドクリームを試してみては？ たった1秒で、大きな毛穴がきめ細かくなめらかになり、小じわやシミが目立たなくなるというから驚きです！ まるで生まれつきの美肌のように、透明感のある美白肌になります。 ベースメイクはより従順になり、48時間にじんだりはがれたりすることなく、長時間血色感が持続します。 このノーブル フェイスクリームで、最高のスキンケア体験をお楽しみください！'],"レッドプロテイン弾力リッチクリーム
たった1秒で粗大な毛穴が滑らかに！
くすみやざらつきを改善し、ベースメイクがより密着
肌が透き通るように白くなり、まるで生まれつきの美肌に！

外出時に化粧をしたくないけれど、美しい肌を持ちたいと思うなら、このドラゴンブラッドクリームを試してみてください！
その驚くべきところは、たった1秒で粗大な毛穴が滑らかになり、細かいシワや欠点が見えなくなることです！肌が透き通るように白くなり、まるで生まれつきの美肌を手に入れたような感じです。
ベースメイクもより密着し、長時間持続し、48時間にじまず崩れません。
最高級のスキンケア体験を、このリッチクリームでお楽しみください！"
"德国精钢研磨机
厨房料理好帮手
家用小型研磨机，各种五谷杂粮都可以磨成粉！
打粉、绞肉、磨豆浆、药材，通通一键搞定！

别再买榨汁机、豆浆机、打粉机这些浪费钱的东西了！这个研磨机一个顶五个，榨汁、打粉等等通通都能搞定，家家都应该备一个！四刃高硬度不锈钢刀片，锋利坚韧！操作特别简单，只需要几十秒就可以把五谷杂粮磨成细腻的粉末！用它磨豆浆又快又细腻，豆渣细腻的就像豆粉冲泡出来的一样，毫无颗粒感，无需过滤就可以直接喝！","ドイツ製高品質の研磨機
台所の助け役
家庭用小型研磨機、五穀や雑穀を粉にすることができる！
粉砕、挽肉、豆乳、薬材など、ワンキーで完璧！

もう搾り汁機、豆乳機、粉砕機などの無駄なものを買わないでください！この研磨機は5つに相当する、搾り汁、粉砕など、家々に1台を用意するべきです！4枚の高硬度ステンレス鋼刃、鋭くて丈夫！操作がとても簡単で、数十秒で五穀や雑穀を細かい粉末にすることができる！豆乳を研磨するのに速くて繊細で、豆渣は豆粉のように繊細で、粒子感がなく、濾過する必要がなく、直接飲むことができる！",['ドイツ製スチールグラインダー キッチン調理良いヘルパー家庭用小型グラインダー、穀物や穀物のすべての種類を粉にすることができます！ 粉末化、肉を挽く、豆乳を挽く、ハーブ、ワンクリックですべて！ ジューサー、豆乳マシン、パウダーマシン、これらのお金の無駄を購入しないでください！ このグラインダー1トップ5、ジュース、粉砕など、すべての固定することができ、家族が1つを持っている必要があります！ 4エッジ高硬度ステンレス鋼ブレード、シャープでタフ！ 操作は非常に簡単で、穀物や穀類を微粉末に挽くのに数十秒しかかかりません！ 大豆ミルクを挽くためにそれを使用し、高速かつ繊細な、大豆の残渣は、同じから醸造大豆パウダーと同じくらい繊細である、粒子がない、フィルタリングする必要はありません直接飲むことができます！'],"ドイツ製ステンレススチールミル
キッチンの頼れるパートナー
家庭用小型ミル、さまざまな穀物を粉末に磨りつぶせます！
粉砕、ミンチ、豆乳作り、薬材粉砕、すべてワンタッチで完了！

ジューサー、豆乳メーカー、粉砕機などお金の無駄遣いをもうしないでください！このミル一台で五役をこなします。ジュース作り、粉砕などすべて対応可能、各家庭に一台は備えておくべきです！四枚刃の高硬度ステンレススチールブレードは鋭くて頑丈！操作も非常に簡単で、わずか数十秒で穀物を細かい粉末に磨りつぶせます！このミルで作る豆乳は速くて滑らか、豆かすはまるで豆粉を溶かしたように細かく、粒感が全くなく、フィルター不要でそのまま飲めます！
"
它是304不锈钢材质的，食品级材质，使用更安心！也可以用它给宝宝做辅食，一次一份，新鲜健康！也不用怕做多了，浪费吃不完！还可以用它来磨咖啡、辣椒或是各种调味作料！小小的一个，放在哪里都不占地方！喜欢就赶紧点击下方链接购买，十分钟内下单可享受优先发货！划走就再也找不到了！,304ステンレス鋼素材、食品グレード素材、安心に使える！赤ちゃんの副食にも使える、1回1份、鮮度と健康を保証！過剰に作っても食べ切れない心配もなく、コーヒーや唐辛子、様々な調味料をすりおろすのに使える！小さくて、どこに置いても邪魔にならない！気に入ったら、下記のリンクをクリックして購入してください。10分以内に注文すると、優先出荷が可能！取り逃がすと再び手に入らない！,['それは304ステンレス鋼、食品グレードの材料で作られており、心のより多くの平和を使用しています！ また、あなたの赤ちゃんのための補完的な食品を作るために使用することができ、一度に、新鮮で健康！ 作りすぎて無駄にする心配もありません！ コーヒーや唐辛子、あらゆる調味料を挽くのにも使えます！ とても小さいので、場所をとりません！ 10分以内にご注文いただければ、優先的に発送いたします！ 10分以内にご注文いただければ、優先的に発送いたします！'],これは304ステンレス鋼製で、食品グレードの素材なので、より安心して使用できます！赤ちゃんの離乳食を作るのにも使えます。一回に一食分作れるので、新鮮で健康的！作りすぎて無駄になる心配もありません！さらに、コーヒーや唐辛子、各種調味料を挽くのにも使えます！コンパクトなサイズで、どこに置いても場所を取りません！気に入ったら、下のリンクをクリックして購入してください。10分以内に注文すれば、優先発送が受けられます！スワイプしてしまうと、もう見つけられませんよ！
"负离子卷发直发两用梳，轻松一梳，柔顺丝滑
负离子直发梳，卷直两用，3秒快速打造柔顺发型
双层设计防烫不伤发，适合不同发质

不会还有人不知道这款被发型师吹捧的直发梳吧？无论是拉直还是卷发内扣，用这一把梳子都可以搞定！它内含负离子成分，可以有效保护我们的头发不受损！每次去理发店做完头发后，头发不是干枯就是打结！这把直发梳具备权威机构认证，真正的不伤发！五档调节功能，不烫头皮不烫手！想做直发的，只需轻轻一梳，30秒就能搞定！想做卷发内扣的，把头发绕两圈，做出来的卷发特别自然有型，还不毛躁！就像女明星一样漂亮！自己在家就能轻松操作，省下去理发店做头发的钱！","ネガイオンヘアストレート＆カール両用梳、簡単に梳くだけで、柔らかく滑らかになります。
ネガイオンストレートヘア梳、カール＆ストレート両用、3秒で柔らかいヘアスタイルに仕上げます。
2層デザインで、熱を防ぎ、髪を傷つけず、さまざまな髪質に適しています。

このヘアスタイリストに絶賛されたストレートヘア梳をまだ知らない方はいませんか？ストレートヘアやカールヘアに、この梳を使ってみてください！ネガイオン成分を含んでおり、髪を効果的に保護してくれます！理髪店に行ってから、髪が乾燥したり、髪の毛が絡まったりすることがあります。このストレートヘア梳は、公的な機関の認証があり、本当に髪を傷つけません！5段階調整機能があり、頭皮や手を熱くしません！ストレートヘアにしたいなら、軽く梳くだけで、30秒で仕上がります！カールヘアにしたいなら、髪を2回巻きます。カールヘアは自然でスタイリッシュで、毛玉もありません！女優のように美しい！自宅で簡単に操作でき、理髪店に行く必要がなく、理髪代を節約できます！",['マイナスイオン巻き髪ストレート二重目的の櫛、櫛に簡単、滑らかで絹のような マイナスイオン縮毛矯正櫛、カーリーとストレートの二重目的、すぐに滑らかなヘアスタイルを作成するために3秒 アンチやけどの二重層設計は、異なる髪のタイプに適した、髪を傷つけることはありません これはストレートコーム、右、ヘアスタイリストによって喧伝されていることを知らない人はいないでしょう？ ストレートでもカールでも、このコームがあれば大丈夫！ マイナスイオンが含まれていて、髪をダメージから効果的に守ってくれる！ 美容院に行くたびに、髪がパサパサになったり、絡まったりしますよね！ この縮毛矯正クシは、権威の認定を受けており、本当に髪を傷めません！ 5段階のスピード調節機能付きで、頭皮が熱くならず、手も熱くなりません！ あなたがストレートヘアをしたい場合は、ちょうど軽い櫛、それを成し遂げるために30秒！ 巻き毛のバックル、2つの円の周りの髪をやりたい、特に自然な形だけでなく、くせ毛ではないカールのうち行う！ ちょうど女優のように美しい！ あなたは簡単に自分で自宅で操作し、あなたの髪を行うために理髪店に行くのお金を節約することができます！'],"マイナスイオンカール＆ストレート両用ブラシ、一度とかすだけで、滑らかな髪に
マイナスイオンストレートブラシ、カール＆ストレート両用、3秒でさらさらヘアスタイルを作成
二重設計で火傷防止、髪を傷めず、様々な髪質に対応

このヘアスタイリストが絶賛するストレートブラシをまだ知らない人がいるとは思えません！ストレートでもカールでも、この一本で全部解決！マイナスイオン成分が含まれており、髪を効果的に保護します！美容院で髪を整えた後、髪が乾燥したり絡まったりすることがありませんか？このストレートブラシは権威ある機関の認証を受けており、本当に髪を傷めません！5段階調節機能で、頭皮や手を火傷しません！ストレートにしたいなら、軽くとかすだけで30秒で完了！カールや内巻きにしたいなら、髪を2回巻くだけで、自然で形の良いカールが作れます。さらに毛先も広がりません！まるで女優のように美しい！自宅で簡単に操作でき、美容院で髪を整える費用を節約できます！"
谁能想到有一天，一个小小的车载暖风机，竟然能有这么实用的功能！这个就是专为解决冬天车玻璃起雾的车载暖风机！早上太冷，车玻璃容易起雾，不要再用手去擦了，不仅影响开车安全，还容易看不清！就用这个车载暖风机，不管是高配车还是低配车，只要插在点烟口上就能用！自带吸盘，把它放在仪表台上，只要30秒，前挡风玻璃就变的干干净净了！玻璃清晰透亮！底座可以360度旋转！它的暖风功能还能让车里迅速升温，就算不开空调，车内也很暖和！比开空调更省油！它小巧方便携带，随时随地带着它，放在仪表台上就能用！有热风冷风两种模式，方便又省心！,誰が思ったか、車用ヒーターがこんなに実用的だということか！冬の車の窓ガラスが霧がかかる問題を解決するために作られた車用ヒーターです！朝が寒いと、車の窓ガラスが霧がかかりやすいので、もう手で拭く必要はありません。運転の安全性に影響を与えるだけでなく、視界が悪くなります！この車用ヒーターを使えば、高級車でも低級車でも、シガーソケットに差し込むだけで使えます！吸盤付きで、ダッシュボードに置くだけで、30秒でフロントガラスをきれいにします！ガラスが明瞭で透明です！底部は360度回転可能です！暖かい風を吹き出すことで、車内を素早く暖かくすることができ、エアコンを付けなくても、車内は暖かくて快適です！エアコンより省エネです！コンパクトで持ち運びに便利で、いつでもどこでも持っておけば、ダッシュボードに置くだけで使えます！暖かい風と冷たい風の2つのモードがあり、便利で安心です！,['小型カーヒーターがこんな便利な機能を持つ日が来るとは、誰が想像しただろう！ これは、冬の車のガラスの曇りを解決するために特別に設計されたカーヒーターです！ 朝は寒すぎて、車のガラスが曇りやすく、手で拭かないで、運転の安全に影響するだけでなく、見やすい！ このカーヒーターを使用するだけで、車高が高くても低くても、シガーソケットに差し込むだけで使用できます！ 吸引カップが付属しており、ダッシュボードにそれを置く限り、30秒として、フロントガラスは、清潔で乾燥した状態になります！ ガラスは透明で半透明です！ ベースは360度回転することができます！ その温風機能はまた、あなたがエアコンをオンにしなくても、車はまだ暖かいです、迅速に車を暖めることができます！ エアコンをつけるより燃料を節約できます！ 小型で持ち運びしやすく、どこにでも持ち運べ、ダッシュボードの上に置いて使えます！ 温風と冷風の2つのモードがあり、便利で手間がかからない！'],誰がこんなことを考えたでしょうか？小さな車載暖房機がこんなに実用的な機能を持っているなんて！これは冬の車のガラスの曇りを解消するために特別に設計された車載暖房機です。朝が寒すぎて車のガラスが曇りやすいとき、手で拭くのはやめましょう。運転の安全を損なうばかりか、視界も悪くなります。この車載暖房機を使えば、高級車でも低価格車でも、シガーソケットに差し込むだけで使えます。吸盤付きで、ダッシュボードに置くだけで30秒でフロントガラスがきれいになります！ガラスがクリアでピカピカ！ベースは360度回転可能！暖房機能で車内をすぐに暖めることができ、エアコンを使わなくても車内は暖かいです！エアコンを使うより燃費が良いです！小型で持ち運びが便利なので、いつでもどこでも持ち歩いてダッシュボードに置くだけで使えます！温風と冷風の2つのモードがあり、便利で安心です！
"车载暖风机
既能除雾又能吹暖风
有了这个暖风机除雾器，冷天再也不怕车玻璃起雾了
不仅可以快速除雾，还能吹暖风，让车内暖和起来","車用暖風機
霧取りと暖風を兼ね備えている
この暖風機を使用すれば、寒い日でも車のガラスが霧に覆われる心配はなくなります。
霧取りだけでなく、暖風も吹き出し、車内を暖かくすることができます。",['カーヒーターで曇り取りと温風吹き出しが可能 このヒーター・デフォッガーがあれば、寒い日に車のガラスが曇る心配はない。'],"車載ヒーター
曇り止めも暖房もこれ一台
このヒーターがあれば、寒い日でも車のガラスが曇る心配はありません。
素早く曇りを取り除くだけでなく、暖かい風を吹き出し、車内を快適にします。"
"冬季必备暖菜保温板
恒温速热、持久保温、安全防烫
天凉了，家里有个这样的暖菜板太实用了！
保温加热饭菜，再也不用担心饭菜凉了！","冬の必需品、保温ボード
恒温加熱、長時間保温、安全性抜群
寒い冬に、この保温ボードがあれば、家が暖かくなる！
食事を保温して、食事が冷めない！",['冬に欠かせない温かい食器用保温板 恒温速熱、持続保温、安全やけど防止 日中は涼しく、家庭にはこのような温かい食器皿があると実用的すぎます！ 断熱保温で食事を温め、食事の冷たさを心配する必要がなくなった！'],"冬季必須の保温プレート
一定温度で素早く加熱、長時間保温、安全に使用
寒くなったら、家にこんな保温プレートがあるととても便利です！
ご飯やおかずを保温加熱して、もう冷める心配はありません！"
