source,trans1,trans2,trans3
"抗衰老，28天就年轻10岁
儿童、老人、囚禁体弱者，适合食补。
7天吃的不一样！
一月轻松瘦10斤。
收紧皮肤，使其富有弹性。

香浓可口的麦片粥","抗老化、28日で10歳若く見える
子供、老人、体が弱い人に適している。
7日間の食事が違う！
1ヶ月で10キロ痩せる。
肌を引き締め、弾力性を与える。

香り高いオートミールスープ",['アンチエイジング、たった28日で10歳若返る 子供、高齢者、囚人、弱者、栄養補助食品に適しています。 7日間で食べ方が変わる！ 1月で10kgの減量も簡単。 肌を引き締め、弾力のある肌に。 香ばしくておいしいミューズリー'],"アンチエイジング、28日間で10歳若返る
子供、お年寄り、体力の弱い方に食事療法が適しています。
7日間で変わる！
1か月で楽に5キロ減量。
肌を引き締め、弾力を持たせる。

濃厚で美味しいオートミール粥"
"手摇磨链器
磨链只需3分钟
高效率 省时省力
专用固定底座
无需插电 直接带上山
户外方便作业","手動チェーン研削機
チェーン研削は3分で完了
高効率で時間と労力を節約
専用の固定ベース
電源不要、直接山に持ち上げる
アウトドアでの作業に便利",['手回し式チェーングラインダー チェーンをわずか3分で研磨 高効率 時間と労力を節約 特殊な固定ベース コンセント不要 山に直接持ち運び アウトドアでの便利な作業'],"手動チェーンシャープナー
チェーンの研磨がわずか3分で完了
高効率 時間と労力の節約
専用固定ベース
電源不要 そのまま山に持って行ける
アウトドア作業に便利"
"鼻腔专家推荐
一喷有效缓解打鼾和鼻塞
细腻喷雾 温和不刺激
1秒止鼾 呼吸均匀顺畅
自已睡得好，家人睡得着
男女可用
告别口干舌燥，出差尴尬，打鼾抱怨
给您一个舒适的睡眠","鼻腔専門家のおすすめ
一回スプレーで、鼾と鼻詰まりを効果的に緩和
繊細なスプレー、刺激を与えずに
1秒で鼾を止め、呼吸を均一でスムーズに
自分は良く眠れ、家族も良く眠れ
男女兼用
口が渇く、出張の恥ずかしさ、鼾の苦情を解消
快適な睡眠を提供",['鼻の専門家が推奨する、いびきと鼻づまりを解消するワンスプレー 細かいスプレーで、優しく、刺激が少ない いびきを1秒で止める 均一でスムーズな呼吸 自分も家族もぐっすり眠れる 男女兼用 口の渇き、出張時の恥ずかしさ、いびきによる不定愁訴にさよならを 快適な睡眠をお届けします！'],"鼻腔の専門家が推薦
一噴きでいびきと鼻づまりを効果的に緩和
細やかなスプレー、優しく刺激なし
1秒でいびきを止め、呼吸が均一でスムーズに
自分もよく眠れ、家族も安眠
男女兼用
口の渇きや出張中の気まずさ、いびきの不満とお別れ
快適な睡眠をあなたに"
"懒人必备！蔬果清洗沥水篮子
超声波设计，清洗能力超强！
比手洗干净太多了！
水果、蔬菜都能用！
超声波震动清洗，
科技改变生活！","便利な洗い物用スプーン！
超音波洗浄、洗浄力抜群！
手洗いより洗浄力が高い！
果物、野菜も使える！
超音波振動洗浄、
テクノロジーが生活を変える！",['怠け者の必需品！ 野菜と果物の洗浄と水切りバスケット 超音波設計、超洗浄能力！ 手で洗うよりずっと清潔！ 野菜や果物も使えます！ 超音波振動洗浄、技術が生活を変える！'],"怠け者必携！野菜と果物の洗浄水切りバスケット
超音波デザインで、洗浄力抜群！
手洗いよりもはるかに清潔！
果物も野菜も使用可能！
超音波振動洗浄、
テクノロジーが生活を変える！"
"抬头纹、法令纹、眼角纹，皮肤松弛显老
你就不要再花冤枉钱了
25-80岁的人一定要知道它
这不是面膜，是胶原填充片
秒吸收，补充流失的胶原蛋白
紧致提升，淡化皱纹
强韧肌底，保湿滋润
2023全新方法，快速恢复饱满年轻肌肤！年轻20岁！","たるんだ肌、ひげじわ、目元のしわ、老けた肌
もうお金を無駄にしないでください
25～80歳の方は絶対に知っておくべきです
これはマスクではなく、コラーゲン補充パックです
瞬時に吸収、失われたコラーゲンを補給
引き締め、シワを薄くする
強靭な肌の下地、保湿力抜群
2023年新しい方法、若々しい肌を素早く回復！20歳若返り！",['見出し、ほうれい線、目のシワ、肌のたるみは年齢を表します 無駄にお金を使うべきではありません 25-80歳は知っている必要があります これはマスクではありません、それはコラーゲン充填剤の錠剤です 数秒の吸収、コラーゲンの損失を補充 しっかりと持ち上げ、しわを薄くする 筋肉基盤を強化し、保湿し、栄養を与える 2023 迅速に完全で若々しい肌を復元するためのブランドの新しい方法！ 20歳若返る'],"額のシワ、法令線、目尻のシワ、肌のたるみが老けて見える
もう無駄なお金を使わないでください
25歳から80歳の方にぜひ知って欲しい
これはフェイスマスクではなく、コラーゲンフィラーシートです
瞬時に吸収され、失われたコラーゲンを補充
肌を引き締め、シワを薄く
肌の基礎を強化し、保湿と潤いを提供
2023年の新しい方法で、速やかにふっくらとした若々しい肌を取り戻す！20歳若返る！"
"车家两用吸尘器
无线超大吸力12000Pa
身材小巧，拥有超强吸力，快速吸收缝隙中各种垃圾碎屑，可以吹水吹尘吹头发，还能各种充气打气/充气泵使用","車と家の両用ホコリ掃除機
無線で12000Paの強力な吸引力
コンパクトで、強力な吸引力、隙間のゴミを素早く吸収、水やほこり、髪を吹き飛ばすことができる、様々な充気ポンプとしても使用可能",['車と家庭用デュアルユースフーバーワイヤレススーパー吸引12000Paコンパクトなサイズは、ゴミの破片の様々な隙間のスーパー吸引、高速吸収を持って、あなたは髪を吹いてほこりを吹いて水を吹くことができるだけでなく、インフレータブルインフレータブル\\/インフレータブルポンプの様々な使用'],"車用・家庭用両用掃除機
コードレス超強吸引力12000Pa
コンパクトなボディでありながら、超強力吸引力を持ち、隙間のゴミや破片を素早く吸い取ります。さらに、水や埃、髪の毛を吹き飛ばすことができ、様々な充気・空気入れ/エアポンプとしても活用できます。"
"采用德国技术，超级亮，晚上打开它可以照亮整个小镇。
还可以充当移动电源，在紧急情况下为您的智能手机充电。
待机时间长，一次充电可使用7天以上","ドイツの技術を採用し、超高輝度で、夜に開いて小さな町を照らすことができる。
モバイルバッテリーとしても使え、緊急時にスマホを充電できる。
待機時間が長く、1回の充電で7日以上使える。",['ドイツの技術を採用し、超明るい、夜間に点灯すると、町全体を照らすことができます。 また、緊急時にスマートフォンを充電するモバイル電源としても使用できます。 待機時間が長く、1回の充電で7日間以上使用可能。'],"ドイツの技術を採用し、超高輝度で、夜に点灯すれば町全体を照らすことができます。
さらに、モバイルバッテリーとしても使用でき、緊急時にはスマートフォンの充電が可能です。
待機時間が長く、一度の充電で7日以上使用できます。"
"2023新款机车概念黑科技手表
瑞士进口顶级石英机芯
30米深度防水
钻石光泽表盘
个性化无指针设计
不锈钢表带
经典时尚
彰显男人尊贵品位
现在购买 免运费","2023新作バイクコンセプトブラックテクノロジーウォッチ
スイス輸入の最高級クォーツムーブメント
30メートル防水
ダイヤモンド光沢のダイヤル
個性的な無針デザイン
ステンレススチールバンド
クラシックでファッショナブル
男らしさをアピール
今購入すれば、送料無料",['2023新しいバイカーの概念の黒の技術の腕時計はスイス人輸入された上の水晶動き30mの深さの防水ダイヤモンドの光沢のダイヤルを個人化した 針の設計ステンレス鋼の革紐 古典的な方法ショー人の気高い好み 今すぐ購入 送料無料'],"2023年新作バイクコンセプトのハイテク腕時計  
スイス製トップクラスのクォーツムーブメント  
30メートル防水  
ダイヤモンドのような輝きの文字盤  
個性的な針なしデザイン  
ステンレススチールバンド  
クラシックでファッショナブル  
男性の高貴な品位を際立たせる  
今すぐ購入で送料無料"
"2022新款概念手表
机车概念黑科技手表
30米防水
永久续航 无需充电
时尚、大气、尊贵，成功男士的选择
瑞士进口机芯
合金表带，深度防水
幻彩玻璃镜面
彰显独特魅力
手腕上的黑科技
现在购买，免运费","2022新作コンセプト腕時計
バイクコンセプトブラックテクノロジーウォッチ
30m防水
永久バッテリー、充電不要
おしゃれ、エレガント、成功した男の選択
スイス輸入ムーブメント
合金ストラップ、防水
カラフルなガラスレンズ
ユニークな魅力をアピール
腕にブラックテクノロジー
今購入すれば、送料無料",['2022新しいコンセプトウォッチ機関車コンセプトブラックテクノロジーウォッチ 30メートル防水永久継続 充電する必要はありません スタイリッシュな、雰囲気のある、威厳のある、成功した男性の選択 輸入されたスイスのムーブメント 合金ストラップ、深さ防水ファントムガラスミラー ユニークな魅力を披露 腕にブラックテクノロジー 今すぐ購入、送料無料！'],"2022年新作コンセプトウォッチ
バイクコンセプトのブラックテクノロジーウォッチ
30メートル防水
永久稼働 充電不要
ファッション、大気、高貴、成功した男性の選択
スイス製ムーブメント
合金バンド、深度防水
幻彩ガラスミラー
独特な魅力を発揮
手首に宿るブラックテクノロジー
今すぐ購入で送料無料"
"1秒收平“大肚腩”
秒变小“腰”精
40岁拥有20岁身材的秘密
夏季新升级网纱束腰
紧致收腹显瘦20斤
轻薄无痕
收腹不卷边
高弹不勒
修身美背
立显S型
让女人羡慕让男人惊艳","1秒で「お腹」を引き締め
「ウエスト」を小さくして
40歳でも20歳の体型を
夏の新作アップグレード・ウェブ・ウェスト・ベルト
お腹を引き締め、20kg痩せ見え
薄くて痕跡が残らない
お腹を引き締め、巻き上がらない
高弾性で締め付けない
体型を整え、背中を美しく
Sラインを立体的に
女性の羨望を呼び、男性の驚きを呼び起こす","['1秒フラット ""大きなお腹 ""小さな ""ウエスト ""エッセンスに秒 20歳の体の秘密を持つ40歳 夏の新しいアップグレードメッシュガードル タイトな腹は跡形もなく薄い20キロを薄く お腹をロールエッジ高弾性ではない絞め殺さない 背中を即座に表示Sタイプをスリミング 女性がうらやましがりましょう 男性は驚くべきことができます！']",pass
